1473718946607,873081616231689,2,-72,-82
1473718946674,873081683675536,1,-72,-68
1473718946749,873081757100829,3,-72,-73
1473718946833,873081842336425,1,-72,-67
1473718946891,873081900472411,2,-72,-76
1473718946905,873081914541015,3,-72,-63
1473718946988,873081997823485,1,-72,-64
1473718947040,873082049550780,2,-72,-73
1473718947065,873082073751220,3,-72,-65
1473718947146,873082155812987,1,-72,-64
1473718947183,873082192647704,2,-72,-74
1473718947216,873082225087890,3,-72,-62
1473718947298,873082307607421,1,-72,-66
1473718947328,873082337636718,2,-72,-74
1473718947375,873082384114989,3,-72,-67
1473718947453,873082461873778,1,-72,-65
1473718951973,873086981496581,2,-72,-81
1473718952026,873087035299071,3,-72,-65
1473718952060,873087069082030,1,-72,-65
1473718952121,873087130452880,2,-72,-81
1473718952186,873087194967040,3,-72,-65
1473718952219,873087227956542,1,-72,-64
1473718952266,873087275838622,2,-72,-80
1473718952342,873087351491698,3,-72,-64
1473718952373,873087382741698,1,-72,-64
1473718952410,873087419698485,2,-72,-81
1473718966687,873101696401366,2,-72,-76
1473718966792,873101801656493,3,-72,-61
1473718966833,873101842336425,2,-72,-76
1473718966847,873101856466064,1,-72,-76
1473718966953,873101961843261,3,-72,-66
1473718966980,873101989736327,2,-72,-75
1473718967005,873102013906249,1,-72,-61
1473718967112,873102121328124,3,-72,-67
1473718967129,873102137685546,2,-72,-75
1473718967158,873102167745360,1,-72,-61
1473718967265,873102273916015,3,-72,-68
1473718967312,873102321370849,1,-72,-63
1473718967419,873102425954589,2,-72,-77
1473718967420,873102429097900,3,-72,-70
1473718967470,873102479146728,1,-72,-62
1473718971958,873106966817626,1,-72,-64
1473718972052,873107060476073,2,-72,-81
1473718972093,873107101705321,3,-72,-74
1473718972108,873107117849120,1,-72,-67
1473718972245,873107253408202,3,-72,-77
1473718972265,873107273946532,1,-72,-62
1473718972336,873107344991454,2,-72,-77
1473718972402,873107410634765,3,-72,-74
1473718972419,873107428060302,1,-72,-62
